tire_key,tire_no,tire_no_raw,source_pdf_page,size_raw,manufacturer_code,manufacturer_name,brand_name_raw,cords_raw,construction_type,construction_name,construction_source,remarks_raw,mapped_package_count,exact_ocr_package_count,best_mapping_confidence,first_data_volume,first_data_page,measurement_page_count,cornering_coeff_page_count,braking_coeff_page_count,evidence_class,transcription_status,identity_scope,racing_applicability_default,curve_digitization_status
TIRF-084,84,084,219,F78-l4,KS,Kelly-Springfield,Celebrity Nylon Belted,ZN+ZF/zN,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-085,85,085,219,G78-l4,KS,Kelly-Springfield,Celebrity Nylon Belted,ZN+ZF/ZN,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,89,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-086,86,086,219,H78-l4,KS,Kelly-Springfield,Celebrity Nylon Belted,ZN+Zr IZN,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-088,88,088,219,H78-l5,KS,Kelly-Springfield,Celebrity Nylon Belted,ZN+ZF/zN,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,97,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-089,89,089,219,J78-l5,KS,Kelly-Springfield,Celebrity Nylon Belted,4N+ZF/4N,BB,Bias Belted,Appendix B OCR / direct row,.,1,0,MEDIUM,4,105,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-091,91,091,219,G60-l4,DU,Dunlop,G/T Qualifier Belted 60,ZP+zF/zp,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,4,113,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-092,92,09Z,219,G60-l5,DU,Dunlop,G/T Qualifier,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,HIGH,4,121,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-093,93,093,219,E70-l4,DU,Dunlop,G I T Qualifier,ZP+zF/zp,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,4,129,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-094,94,094,219,F70-l4,DU,Dunlop,G/T Qualifier,ZP+zF/zp,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,4,137,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-095,95,095,219,G70-l4,DU,Dunlop,"G/T Qualifier Belted ""70""",ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,4,145,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-096,96,096,219,A70-13,DU,Dunlop,sIs Wide Track Belted,ZP+zF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,153,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-097,97,097,219,A78-l3,DU,Dunlop,Goldseal Sport Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,161,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-098,98,098,219,B78-l3,DU,Dunlop,Goldseal Sport Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,..,1,1,HIGH,4,169,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-099,99,099,219,C78-l3,DU,Dunlop,"Goldseal Sport Belted ""78""",ZP+zF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,4,177,4,2,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-100,100,100,219,C78-l4,DU,Dunlop,"Goldseal ""78"" Sport Belted",ZP+ZF!ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-101,101,101,219,E78-l4,DU,Dunlop,"Goldseal ""78"" Sport Belted",ZP+ZF!ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,193,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-102,102,10Z,219,F78-14,DU,Dunlop,"Goldseal ""78"" Sport Belted",ZP+ZF!ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,201,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-103,103,103,219,G78-14,DU,Dunlop,Goldseal Sport Belted,ZP+zF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,HIGH,4,209,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-104,104,104,219,H78-l4,DU,Dunlop,"Goldseal Sport Belted ""78""",ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,217,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-106,106,106,220,G70-14,DU,Dunlop,CW44 St Wide Track Belted,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,Snow .,1,0,MEDIUM,4,225,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-107,107,107,220,G78-14,DU,Dunlop,CW 144 Silent Traction Belted,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,Snow,1,0,MEDIUM,4,233,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-109,109,109,220,G78-15,FI,Firestone,Town & Country,4R,R,Radial Ply,Appendix B OCR / direct row,Snow,1,0,MEDIUM,4,241,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-110,110,110,220,G78-15,BFG,BF Goodrich,Silvertown Belted,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,..,1,1,HIGH,4,249,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-114,114,114,220,G78-14,CO,Cooper,Lifeliner Premium 78,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,4,257,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-115,115,115,220,G78-1S,CO,Cooper,Lifeliner Premium 78-,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,265,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-116,116,116,220,G78-14,GT,General Tire,Belted Jumbo 780,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,.,1,0,MEDIUM,4,273,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-117,117,117,220,G78-15,GT,General Tire,Belted Jumbo 780,ZPtZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,281,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-118,118,118,220,G78-14,LE,Lee,GS 300 78 RM,4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,289,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-119,119,119,220,G78-15,LE,Lee,GS 300 78 RM,4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,297,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-122,122,12Z,220,G78-14,DA,Dayton,Thorobred Dayton 4+Z,4PtZF/4P,BB,Bias Belted,Appendix B OCR / direct row,I,1,0,MEDIUM,4,305,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-123,123,lZ3,220,G78-15,DA,Dayton,Thorobred Dayton,4PtZF/4P,BB,Bias Belted,Appendix B OCR / direct row,I,1,1,HIGH,4,313,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-124,124,lZ4,220,A78-13,GY,Goodyear,"Power Custom Vyta Cord ""78""",4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,321,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-125,125,lZ5,220,7.00-13,GY,Goodyear,"Power Custom Vyta Cord' ""78""",4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,329,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-126,126,lZ6,220,A78-13,GY,Goodyear,Power Streak 78,ZP,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,337,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-127,127,lZ7,220,A78-13,GY,Goodyear,Power Cushion,ZP,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,345,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-128,128,lZ8,220,6.45-14,GY,Goodyear,Power Cushion,ZP,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,353,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-129,129,129,220,6.95-14,GY,Goodyear,Power Cushion,", ZP",B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,361,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-130,130,130,220,7.35-14,GY,Goodyear,Power Cushion,ZP,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,4,369,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-131,131,131,220,6.00-13,GY,Goodyear,Mini Custom G8,4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,377,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-132,132,13Z,220,5.60-15,GY,Goodyear,Mini Custom G8,4P,B,Bias Ply,Appendix B OCR / direct row,,1,0,HIGH,4,385,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-133,133,133,220,A78-13,GY,Goodyear,"Suburbanite ,",4P,B,Bias Ply,Appendix B OCR / direct row,Snow,1,0,MEDIUM,4,393,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-134,134,134,220,G78-14,GY,Goodyear,Suburbanite,4P,B,Bias Ply,Appendix B OCR / direct row,Snow,1,0,MEDIUM,4,401,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-135,135,135,221,A78-13,DU,Dunlop,"Go1dsea1 ""78"" sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,409,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-136,136,136,221,B78-13,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,•,1,0,MEDIUM,4,417,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-137,137,137,221,C78-13,DU,Dunlop,"""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,0,LOW,4,425,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-138,138,138,221,B78-14,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,4,433,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-139,139,139,221,C78-14,DU,Dunlop,"Go1dsea1 ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,..,1,0,MEDIUM,4,441,3,2,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-140,140,140,221,E78-14,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-141,141,141,221,F78-14,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,4,457,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-142,142,14Z,221,G78-14,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,4,465,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-143,143,143,221,H78-14,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,0,LOW,4,473,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-144,144,144,221,G78-15,DU,Dunlop,"Go1dseal ""78"" Spor~ 4P",,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,4,481,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-145,145,145,221,H78-15,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,2,1,HIGH,5,18,4,3,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-146,146,146,221,J78-15,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-147,147,147,221,L78-15,DU,Dunlop,"Goldseal ""78"" Sport 4P",,B,Bias Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-148,148,148,221,G78-14,FI,Firestone,404 Rayon 4R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,5,42,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-149,149,149,221,G78-15,FI,Firestone,404 Rayon 4R,,R,Radial Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-150,150,150,221,H78-15,FI,Firestone,404 Rayon 4R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,5,50,1,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-151,151,151,221,6.00-13,FI,Firestone,Mini Sport· ZR,,B,Bias Ply,Appendix B OCR / direct row,,2,2,HIGH,5,58,4,2,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-152,152,15Z,221,6.45-14,FI,Firestone,Mini Sport ZR,,B,Bias Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-153,153,153,221,5.60-15,FI,Firestone,Mini Sport ZR,,B,Bias Ply,Appendix B OCR / direct row,,1,0,LOW,5,74,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-154,154,154,221,G78-14,FI,Firestone,New Town & Country 4P,,B,Bias Ply,Appendix B OCR / direct row,,1,0,LOW,5,82,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-155,155,155,221,G78-15,FI,Firestone,Town & Country 4P,,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,5,90,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-156,156,156,221,G78-14,BFG,BF Goodrich,Classic HT 4R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,5,98,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-157,157,157,221,H78-15,BFG,BF Goodrich,Classic HT Rayon 4R,,R,Radial Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-158,158,158,222,G78-15,GT,General Tire,Winter Cleat SLP,4P,B,Bias Ply,Appendix B OCR / direct row,Snow,1,0,MEDIUM,5,106,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-180,180,180,222,6.00-13,CO,Cooper,Sport Master,4N,B,Bias Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-181,181,181,222,5.60-15,CO,Cooper,Sport Master,4N,B,Bias Ply,Appendix B OCR / direct row,,1,0,LOW,5,114,6,3,3,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-182,182,182,222,7.35-14,CO,Cooper,Pace Master,4N,B,Bias Ply,Appendix B OCR / direct row,,1,0,HIGH,5,138,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-183,183,183,222,7.75-14,CO,Cooper,Pace Master,4N,B,Bias Ply,Appendix B OCR / direct row,,1,0,MEDIUM,5,146,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-184,184,184,222,8.25-14,CO,Cooper,Pace Master,4N,B,Bias Ply,Appendix B OCR / direct row,,1,1,HIGH,5,154,1,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-185,185,185,222,8.55-14,CO,Cooper,Pace Master,4N,B,Bias Ply,Appendix B OCR / direct row,.,1,0,MEDIUM,5,162,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
