document_target_id,status,priority_score,weakness_id,weakness,era,year_start,year_end,series_class,supplier,evidence_subtopic,repository_target,target_document_type,search_query,expected_evidence_fields,must_extract,acceptance_rule,do_not_infer,priority
DOC-01380,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1987-1991,1987,1991,Japanese JGTC/GT500,Pirelli,pressure vs spring rate,SAE Mobilus,technical paper,"""Pirelli"" ""Japanese JGTC/GT500"" 1987 1991 tire tyre pressure vs spring rate homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01381,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Can-Am/Group 7,Firestone,core vs surface temperature,race team/setup book archive,setup book / test sheet,"""Firestone"" ""Can-Am/Group 7"" 1972 1976 tire tyre core vs surface temperature homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01382,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,GT2/GTS,Dunlop,cold-to-hot pressure rise,SAE Mobilus,technical paper,"""Dunlop"" ""GT2/GTS"" 1950 1959 tire tyre cold-to-hot pressure rise homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01383,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,1950s-60s sports racing,Avon,camber temperature spread,race team/setup book archive,setup book / test sheet,"""Avon"" ""1950s-60s sports racing"" 1992 1996 tire tyre camber temperature spread homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01384,TO_ACQUIRE_REAL_DOCUMENT,130,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Le Mans GT1,Michelin,track temperature effect,SAE Mobilus,technical paper,"""Michelin"" ""Le Mans GT1"" 1977 1981 tire tyre track temperature effect homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01385,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,Formula 3/Formula Junior,Goodyear,pressure vs footprint,race team/setup book archive,setup book / test sheet,"""Goodyear"" ""Formula 3/Formula Junior"" 1960 1965 tire tyre pressure vs footprint homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01386,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,World Rally/Rallycross,Bridgestone/other,cavity/internal air temperature,SAE Mobilus,technical paper,"""World Rally/Rallycross"" 1997 2001 tire tyre cavity/internal air temperature homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01387,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Formula 1,Pirelli,hot pressure target,race team/setup book archive,setup book / test sheet,"""Pirelli"" ""Formula 1"" 1982 1986 tire tyre hot pressure target homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01388,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,Group C/IMSA GTP,Firestone,nitrogen vs air,SAE Mobilus,technical paper,"""Firestone"" ""Group C/IMSA GTP"" 1966 1971 tire tyre nitrogen vs air homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01389,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",2002-2010,2002,2010,General racing tire,Dunlop,speed cooling,race team/setup book archive,setup book / test sheet,"""Dunlop"" ""General racing tire"" 2002 2010 tire tyre speed cooling homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01390,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1987-1991,1987,1991,Trans-Am/IMSA sedan,Avon,temperature equilibrium,SAE Mobilus,technical paper,"""Avon"" ""Trans-Am/IMSA sedan"" 1987 1991 tire tyre temperature equilibrium homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01391,TO_ACQUIRE_REAL_DOCUMENT,140,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Historic racing reference,Michelin,pressure vs deflection,race team/setup book archive,setup book / test sheet,"""Michelin"" ""Historic racing reference"" 1972 1976 tire tyre pressure vs deflection homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01392,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,Group 4/5 GT,Goodyear,tread pyrometer inner-middle-outer,manufacturer technical archive,supplier technical document,"""Goodyear"" ""Group 4/5 GT"" 1950 1959 tire tyre tread pyrometer inner-middle-outer homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01393,TO_ACQUIRE_REAL_DOCUMENT,140,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,LMP/Prototype,Bridgestone/other,cold-to-hot pressure rise,Tire Science & Technology,peer-reviewed paper,"""LMP/Prototype"" 1992 1996 tire tyre cold-to-hot pressure rise homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01394,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Can-Am/Group 7,Pirelli,camber temperature spread,manufacturer technical archive,supplier technical document,"""Pirelli"" ""Can-Am/Group 7"" 1977 1981 tire tyre camber temperature spread homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01395,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,GT2/GTS,Michelin,track temperature effect,Tire Science & Technology,peer-reviewed paper,"""Michelin"" ""GT2/GTS"" 1960 1965 tire tyre track temperature effect homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01396,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,1950s-60s sports racing,Goodyear,pressure vs footprint,manufacturer technical archive,supplier technical document,"""Goodyear"" ""1950s-60s sports racing"" 1997 2001 tire tyre pressure vs footprint homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01397,TO_ACQUIRE_REAL_DOCUMENT,130,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Le Mans GT1,Bridgestone/other,cavity/internal air temperature,Tire Science & Technology,peer-reviewed paper,"""Le Mans GT1"" 1982 1986 tire tyre cavity/internal air temperature homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01398,TO_ACQUIRE_REAL_DOCUMENT,140,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,Formula 3/Formula Junior,Pirelli,hot pressure target,manufacturer technical archive,supplier technical document,"""Pirelli"" ""Formula 3/Formula Junior"" 1966 1971 tire tyre hot pressure target homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01399,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",2002-2010,2002,2010,World Rally/Rallycross,Firestone,nitrogen vs air,Tire Science & Technology,peer-reviewed paper,"""Firestone"" ""World Rally/Rallycross"" 2002 2010 tire tyre nitrogen vs air homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01400,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1987-1991,1987,1991,Formula 1,Dunlop,speed cooling,manufacturer technical archive,supplier technical document,"""Dunlop"" ""Formula 1"" 1987 1991 tire tyre speed cooling homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01401,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Group A/DTM touring,Avon,temperature equilibrium,Tire Science & Technology,peer-reviewed paper,"""Avon"" ""Group A/DTM touring"" 1972 1976 tire tyre temperature equilibrium homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01402,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,General tire mechanics,Michelin,pressure vs deflection,manufacturer technical archive,supplier technical document,"""Michelin"" ""General tire mechanics"" 1950 1959 tire tyre pressure vs deflection homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01403,TO_ACQUIRE_REAL_DOCUMENT,140,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,NASCAR stock car,Goodyear,tread pyrometer inner-middle-outer,Tire Science & Technology,peer-reviewed paper,"""Goodyear"" ""NASCAR stock car"" 1992 1996 tire tyre tread pyrometer inner-middle-outer homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-01404,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Historic racing reference,Bridgestone/other,blanket/preheat practice,manufacturer technical archive,supplier technical document,"""Historic racing reference"" 1977 1981 tire tyre blanket/preheat practice homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01405,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,Group 4/5 GT,Pirelli,load heating,motorsportmagazine.com archive,period race report / technical feature,"""Pirelli"" ""Group 4/5 GT"" 1960 1965 tire tyre load heating homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01406,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,LMP/Prototype,Firestone,warm-up rate,FIA Historic Database,regulation/homologation,"""Firestone"" ""LMP/Prototype"" 1997 2001 tire tyre warm-up rate homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01407,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Can-Am/Group 7,Dunlop,pressure vs spring rate,motorsportmagazine.com archive,period race report / technical feature,"""Dunlop"" ""Can-Am/Group 7"" 1982 1986 tire tyre pressure vs spring rate homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-01408,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,GT2/GTS,Avon,core vs surface temperature,FIA Historic Database,regulation/homologation,"""Avon"" ""GT2/GTS"" 1966 1971 tire tyre core vs surface temperature homologation/regulation",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
