weakness,subjectPeriodStart,subjectPeriodEnd,historicalClass,supplier,documentType,activeTargetCount
"W02_WEAR_LIFE_GRIP","1997","1999","JGTC — 1994-1999 (GT1/GT2 terminology)","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Historic Racing Reference","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1966","1970","US GT / sports racing — pre-IMSA GT","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2003","CART / Indy-car","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Group C","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Formula 2 — 1972-1984","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Touring / saloon racing — pre-1963","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","General Tire Mechanics","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1977","1981","NASCAR stock car — 1972-1991","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Historic Racing Reference","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Historic Racing Reference","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","IMSA GT — 1971-1981","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1950","1955","AAA Championship Car / Indianapolis","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1994","1996","BPR Global GT","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Formula 2 — 1972-1984","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1963","1965","Group 2 / ETCC — 1963-1969","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Formula 1 — 1990s radial slick/grooved transition","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Historic Racing Reference","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1977","1981","IMSA GT — 1971-1981","Avon","government technical report","1"
"W02_WEAR_LIFE_GRIP","1960","1965","USAC Championship Car / Indianapolis","Michelin","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","FIA GT — 1997-2009","Goodyear","government technical report","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula 3 — 1974-1986","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1966","1971","International rally — pre-WRC","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Formula 1 — grooved-to-slick-return era","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Group 2 / ETCC — 1976-1981","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Japanese GT / touring — pre-JGTC","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","1997","1974","Can-Am — original","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GT — 1982-1993","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1966","1971","Sports racing / prototypes — 1964-1971","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","2002","2009","FIA GT — 1997-2009","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","1987","1990","Formula 3 — 1987-1990","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Rallycross — 1967-1981","Dunlop","technical paper","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Formula 1 — early World Championship","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Le Mans Prototype transition","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","General Racing Tire","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1962","Touring / saloon racing — pre-1963","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Historic Racing Reference","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","2002","1974","Can-Am — original","Avon","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GT — 1982-1993","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Historic Racing Reference","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Formula 3 — 1991-2010","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Rallycross — 1967-1981","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Formula 1 — early World Championship","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2000","2001","DTM — silhouette era","Bridgestone/other","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1982","1986","General Tire Mechanics","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1966","1971","NASCAR stock car — 1950-1971","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1994","1996","GT2 / GTS — 1994-2004 sanction-specific","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Historic Racing Reference","Pirelli","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","CART / Indy-car","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Group C","Avon","government technical report","1"
"W02_WEAR_LIFE_GRIP","1967","1971","Formula 2 — 1967-1971","Michelin","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","1999","JGTC — 1994-1999 (GT1/GT2 terminology)","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Historic Racing Reference","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1966","1970","US GT / sports racing — pre-IMSA GT","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2003","CART / Indy-car","Michelin","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Group C","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Formula 2 — 1972-1984","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Historic Racing Reference","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Trans-Am — 1982-2001","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula Ford — 1982-1992","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1966","1969","Group 2 / ETCC — 1963-1969","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2005","2010","SUPER GT — 2005-2010","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Historic Racing Reference","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","IMSA GT — 1971-1981","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1950","1955","AAA Championship Car / Indianapolis","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1994","1996","BPR Global GT","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Formula 2 — 1972-1984","Firestone","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1963","1965","Group 2 / ETCC — 1963-1969","Dunlop","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Formula 1 — 1990s radial slick/grooved transition","Avon","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1966","1971","General Racing Tire","Goodyear","government technical report","1"
"W02_WEAR_LIFE_GRIP","2002","1972","Trans-Am — 1966-1972","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Formula Ford — 1982-1992","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1975","Group 2 / ETCC — 1970-1975","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Japanese GT / touring — pre-JGTC","Dunlop","government technical report","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Historic Racing Reference","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1977","1981","IMSA GT — 1971-1981","Michelin","government technical report","1"
"W02_WEAR_LIFE_GRIP","1960","1965","USAC Championship Car / Indianapolis","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","FIA GT — 1997-2009","Dunlop","government technical report","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula 3 — 1974-1986","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1966","1971","International rally — pre-WRC","Michelin","government technical report","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Formula 1 — grooved-to-slick-return era","Goodyear","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GTP","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Formula Ford — 1993-2010","Dunlop","technical paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Group 2 / ETCC — 1976-1981","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Japanese GT / touring — pre-JGTC","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1997","1974","Can-Am — original","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GT — 1982-1993","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2009","FIA GT — 1997-2009","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1987","1990","Formula 3 — 1987-1990","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Formula 1 — early World Championship","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Group C","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2002","1974","Can-Am — original","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GT — 1982-1993","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Historic Racing Reference","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Formula 3 — 1991-2010","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","General Tire Mechanics","Firestone","government technical report","1"
"W02_WEAR_LIFE_GRIP","1966","1971","NASCAR stock car — 1950-1971","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Historic Racing Reference","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Sports racing / prototypes — 1972-1981","Firestone","government technical report","1"
"W02_WEAR_LIFE_GRIP","1994","1996","GT2 / GTS — 1994-2004 sanction-specific","Avon","government technical report","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Historic Racing Reference","Michelin","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","CART / Indy-car","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Group C","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","1987","1991","General Tire Mechanics","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","NASCAR stock car — 1972-1991","Michelin","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Historic Racing Reference","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1992","1993","Group C","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Sports racing / prototypes — 1972-1981","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1997","1999","JGTC — 1994-1999 (GT1/GT2 terminology)","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Historic Racing Reference","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1966","1970","US GT / sports racing — pre-IMSA GT","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2003","CART / Indy-car","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Group C","Dunlop","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Formula 2 — 1972-1984","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Touring / saloon racing — pre-1963","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","General Tire Mechanics","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","NASCAR stock car — 1972-1991","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Historic Racing Reference","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Trans-Am — 1982-2001","Firestone","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula Ford — 1982-1992","Dunlop","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1966","1969","Group 2 / ETCC — 1963-1969","Avon","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2005","2010","SUPER GT — 2005-2010","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Historic Racing Reference","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","IMSA GT — 1971-1981","Bridgestone/other","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1950","1955","AAA Championship Car / Indianapolis","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1994","1996","BPR Global GT","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Formula 2 — 1972-1984","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Formula 1 — 1990s radial slick/grooved transition","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GTP","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1966","1971","General Racing Tire","Dunlop","government technical report","1"
"W02_WEAR_LIFE_GRIP","2002","1972","Trans-Am — 1966-1972","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Formula Ford — 1982-1992","Michelin","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1975","Group 2 / ETCC — 1970-1975","Goodyear","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Japanese GT / touring — pre-JGTC","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Historic Racing Reference","Pirelli","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1977","1981","IMSA GT — 1971-1981","Firestone","government technical report","1"
"W02_WEAR_LIFE_GRIP","1960","1965","USAC Championship Car / Indianapolis","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Formula 1 — grooved-to-slick-return era","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GTP","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1972","1976","General Racing Tire","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Touring / saloon racing — pre-1963","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Formula Ford — 1993-2010","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Group 2 / ETCC — 1976-1981","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Japanese GT / touring — pre-JGTC","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1997","1974","Can-Am — original","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GT — 1982-1993","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Formula 1 — early World Championship","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Le Mans Prototype transition","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","General Racing Tire","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1960","1962","Touring / saloon racing — pre-1963","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Historic Racing Reference","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","2002","1974","Can-Am — original","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GT — 1982-1993","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Historic Racing Reference","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Formula 3 — 1991-2010","Firestone","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Rallycross — 1967-1981","Dunlop","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Formula 1 — early World Championship","Avon","government technical report","1"
"W02_WEAR_LIFE_GRIP","2000","2001","DTM — silhouette era","Michelin","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1982","1986","General Tire Mechanics","Goodyear","government technical report","1"
"W02_WEAR_LIFE_GRIP","1966","1971","NASCAR stock car — 1950-1971","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Historic Racing Reference","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Sports racing / prototypes — 1972-1981","Dunlop","government technical report","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Sports racing / prototypes — 1950-1963","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1994","1996","GT2 / GTS — 1994-2004 sanction-specific","Michelin","government technical report","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Historic Racing Reference","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","CART / Indy-car","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1967","1971","Formula 2 — 1967-1971","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2010","DTM — silhouette era","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","General Tire Mechanics","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","NASCAR stock car — 1972-1991","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Historic Racing Reference","Dunlop","technical paper","1"
"W02_WEAR_LIFE_GRIP","1992","1993","Group C","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Sports racing / prototypes — 1972-1981","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1960","1963","Sports racing / prototypes — 1950-1963","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1997","1999","JGTC — 1994-1999 (GT1/GT2 terminology)","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Historic Racing Reference","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Formula 2 — 1972-1984","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1992","1996","General Tire Mechanics","Dunlop","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","NASCAR stock car — 1972-1991","Avon","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Historic Racing Reference","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Trans-Am — 1982-2001","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula Ford — 1982-1992","Bridgestone/other","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1966","1969","Group 2 / ETCC — 1963-1969","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2005","2010","SUPER GT — 2005-2010","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Historic Racing Reference","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Formula 2 — 1972-1984","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1963","1965","Group 2 / ETCC — 1963-1969","Pirelli","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Formula 1 — 1990s radial slick/grooved transition","Firestone","government technical report","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GTP","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1966","1971","General Racing Tire","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","2002","1972","Trans-Am — 1966-1972","Pirelli","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Formula Ford — 1982-1992","Firestone","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1975","Group 2 / ETCC — 1970-1975","Dunlop","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Japanese GT / touring — pre-JGTC","Avon","government technical report","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Historic Racing Reference","Michelin","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1977","1981","IMSA GT — 1971-1981","Goodyear","government technical report","1"
"W02_WEAR_LIFE_GRIP","1960","1965","USAC Championship Car / Indianapolis","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","FIA GT — 1997-2009","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula 3 — 1974-1986","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1966","1971","International rally — pre-WRC","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Formula 1 — grooved-to-slick-return era","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","1987","1991","IMSA GTP","Michelin","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1972","1976","General Racing Tire","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Touring / saloon racing — pre-1963","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Formula Ford — 1993-2010","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Group 2 / ETCC — 1976-1981","Firestone","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Japanese GT / touring — pre-JGTC","Goodyear","technical paper","1"
"W02_WEAR_LIFE_GRIP","1997","1974","Can-Am — original","Bridgestone/other","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1982","1986","IMSA GT — 1982-1993","Pirelli","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2009","FIA GT — 1997-2009","Dunlop","technical paper","1"
"W02_WEAR_LIFE_GRIP","1987","1990","Formula 3 — 1987-1990","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Rallycross — 1967-1981","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Formula 1 — early World Championship","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1993","1996","Le Mans Prototype transition","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1977","1981","General Racing Tire","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1960","1962","Touring / saloon racing — pre-1963","Firestone","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Historic Racing Reference","Dunlop","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1966","1971","Sports racing / prototypes — 1964-1971","Michelin","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","2002","1974","Can-Am — original","Goodyear","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1992","1996","Formula 3 — 1991-2010","Goodyear","government technical report","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Rallycross — 1967-1981","Bridgestone/other","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Formula 1 — early World Championship","Pirelli","government technical report","1"
"W02_WEAR_LIFE_GRIP","2000","2001","DTM — silhouette era","Firestone","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1982","1986","General Tire Mechanics","Dunlop","government technical report","1"
"W02_WEAR_LIFE_GRIP","1966","1971","NASCAR stock car — 1950-1971","Avon","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","2002","2010","Historic Racing Reference","Michelin","government technical report","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Sports racing / prototypes — 1972-1981","Bridgestone/other","government technical report","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Sports racing / prototypes — 1950-1963","Pirelli","race report/result/stint evidence","1"
"W02_WEAR_LIFE_GRIP","1997","2001","CART / Indy-car","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Group C","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1967","1971","Formula 2 — 1967-1971","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","2002","2010","DTM — silhouette era","Avon","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1987","1991","General Tire Mechanics","Michelin","technical paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","NASCAR stock car — 1972-1991","Goodyear","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1950","1959","Historic Racing Reference","Bridgestone/other","technical paper","1"
"W02_WEAR_LIFE_GRIP","1992","1993","Group C","Pirelli","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1977","1981","Sports racing / prototypes — 1972-1981","Firestone","technical paper","1"
"W02_WEAR_LIFE_GRIP","1960","1963","Sports racing / prototypes — 1950-1963","Dunlop","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","1997","1999","JGTC — 1994-1999 (GT1/GT2 terminology)","Avon","technical paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Historic Racing Reference","Michelin","period race report / technical feature","1"
"W02_WEAR_LIFE_GRIP","2002","2003","CART / Indy-car","Bridgestone/other","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Group C","Pirelli","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","Formula 2 — 1972-1984","Firestone","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1992","1996","General Tire Mechanics","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1977","1981","NASCAR stock car — 1972-1991","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1960","1965","Historic Racing Reference","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1997","2001","Trans-Am — 1982-2001","Dunlop","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1982","1986","Formula Ford — 1982-1992","Avon","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1966","1969","Group 2 / ETCC — 1963-1969","Michelin","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","2005","2010","SUPER GT — 2005-2010","Goodyear","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1987","1991","Historic Racing Reference","Bridgestone/other","peer-reviewed paper","1"
"W02_WEAR_LIFE_GRIP","1972","1976","IMSA GT — 1971-1981","Pirelli","supplier racing document","1"
"W02_WEAR_LIFE_GRIP","1950","1955","AAA Championship Car / Indianapolis","Firestone","government technical report","1"
